time,exchange,symbol,interval,price_open,price_high,price_low,price_close,price_volume_usd,taker_aggregated_buy_volume_usd,taker_aggregated_sell_volume_usd,unit,agg_taker_aggregated_buy_volume_usd,agg_taker_aggregated_sell_volume_usd
2025-11-27 16:00:00,Binance,BTC,1h,90958.29,91562.0,90850.77,91467.13,71022486.5562,2907128.3288,4944576.3806,,42555489.3308,28466997.2254
2025-11-27 17:00:00,Binance,BTC,1h,91467.12,91635.79,91299.06,91479.3,64420003.8582,2907128.3288,4944576.3806,,27309370.8716,37110632.9866
2025-11-27 18:00:00,Binance,BTC,1h,91479.3,91843.59,91347.21,91791.99,39673119.3308,2907128.3288,4944576.3806,,23956191.3671,15716927.9637
2025-11-27 19:00:00,Binance,BTC,1h,91791.99,91791.99,91506.94,91528.21,33332442.5523,2907128.3288,4944576.3806,,11304442.9926,22027999.5597
2025-11-27 20:00:00,Binance,BTC,1h,91528.22,91596.76,91400.0,91433.17,23717819.3414,2907128.3288,4944576.3806,,9999474.9164,13718344.425
2025-11-27 21:00:00,Binance,BTC,1h,91433.18,91600.0,91217.17,91416.99,24881394.0065,2907128.3288,4944576.3806,,12067472.7898,12813921.2167
2025-11-27 22:00:00,Binance,BTC,1h,91416.99,91590.0,91114.52,91317.65,26492953.654,2907128.3288,4944576.3806,,12499655.8886,13993297.7654
2025-11-27 23:00:00,Binance,BTC,1h,91317.66,91566.0,91213.79,91333.95,24628237.3853,2907128.3288,4944576.3806,,12087803.142,12540434.2433
2025-11-28 00:00:00,Binance,BTC,1h,91333.94,91417.99,91072.3,91207.34,37006997.7895,2907128.3288,4944576.3806,,13370721.6527,23636276.1368
2025-11-28 01:00:00,Binance,BTC,1h,91207.34,91209.82,90800.3,90804.56,45089465.0791,2907128.3288,4944576.3806,,18568645.2898,26520819.7893
2025-11-28 02:00:00,Binance,BTC,1h,90804.56,91135.69,90652.55,91083.08,60478647.1568,2907128.3288,4944576.3806,,26886485.3221,33592161.8347
2025-11-28 03:00:00,Binance,BTC,1h,91083.08,91306.63,91000.88,91208.85,33082957.2174,14512789.7529,18570167.4645,usd,14512789.7529,18570167.4645
2025-11-28 04:00:00,Binance,BTC,1h,91208.85,91486.29,91130.0,91424.02,26216064.0712,13657258.3742,12558805.697,usd,13657258.3742,12558805.697
2025-11-28 05:00:00,Binance,BTC,1h,91424.02,91707.79,91304.28,91612.09,40682557.07,26124234.3701,14558322.6999,usd,26124234.3701,14558322.6999
